sentence,aspect,theme,description
"I was able to make them out, but perhaps separating the top row (FID and diversity graphs) into separate figures, separate lines, or something would have reduced some confusion.",asp_clarity,TNF,"Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)"
"3) I would suggest a different name other than Neural-LP-N, as it is somewhat underselling this work. Also it makes Table 2 not that easy to read.",asp_clarity,TNF,"Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)"
-	Figures 1 is way too abstract given the complicated set-up of the proposed architecture.,asp_clarity,TNF,"Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)"
It also adds capacity and it is not at all made clear whether the comparison is fair since no analysis on number of parameters are shown.,asp_meaningful-comparison,ANA,More experiments needed with related work
"1. Even though K-matrices are aimed at structured matrices, it would be curious either to empirically compare K-matrices to linear transformations in fully-connected networks (i.e. dense matrices) or to provide some theoretical analysis.",asp_meaningful-comparison,ANA,More experiments needed with related work
"Yeh, Raymond A., et al. ""Image Restoration with Deep Generative Models."" 2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP). IEEE, 2018.",asp_meaningful-comparison,BIB,Incorrect citation
"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited.",asp_meaningful-comparison,BIB,Incorrect citation
"Citations used for Gradcam are wrong -- Sundarajan et al., 2016 should be changed to Selvaraju et al., 2017.",asp_meaningful-comparison,BIB,Incorrect citation
https://openreview.net/references/pdf?id=Sy2fzU9gl,asp_meaningful-comparison,BIB,Incorrect citation
https://arxiv.org/abs/1802.05822,asp_meaningful-comparison,BIB,Incorrect citation
https://arxiv.org/abs/1802.05983,asp_meaningful-comparison,BIB,Incorrect citation
https://arxiv.org/abs/1802.04942,asp_meaningful-comparison,BIB,Incorrect citation
"- I’d also like to see more extensive comparisons between FICM and ICM across different datasets, for example, Super Mario Bros. and the Atari games, instead of only comparing FICM against ICM on ViZDoom.",asp_meaningful-comparison,DAT,"- I’d also like to see more extensive comparisons between FICM and ICM across different datasets, for example, Super Mario Bros. and the Atari games, instead of only comparing FICM against ICM on ViZDoom."
"The real data experiments (sections 4.2 and 4.3) are not very convincing, not only because of the very small size of N, but also because there is no comparison with the other approaches.",asp_meaningful-comparison,DAT_EXP,"The real data experiments (sections 4.2 and 4.3) are not very convincing, not only because of the very small size of N, but also because there is no comparison with the other approaches."
"The MTurk experiment gives a qualitative picture, but it could be improved with comparisons to pairwise distances learned through alternative means using the RGB image itself (given that images would permit such a comparison).",asp_meaningful-comparison,EXP,More experiments needed with related work
"The message of synthetic experiments would be stronger if more of them were available and if the comparison between LOE, TSTE, and OENN was made on more of them.",asp_meaningful-comparison,EXP,More experiments needed with related work
"There should be sufficient details for a reader to implement this model, thought there are some minor details missing regarding the experimental setup, which will be addressed below.",asp_meaningful-comparison,EXP,More experiments needed with related work
The experimental results are not very convincing because many importance baselines are neglected.,asp_meaningful-comparison,EXP,More experiments needed with related work
The comparisons are also absent in experiments.,asp_meaningful-comparison,EXP,More experiments needed with related work
"In numerical experiments, there is no comparison with major competitors besides random sampling in the active learning setup.",asp_meaningful-comparison,EXP,More experiments needed with related work
"3) The experiments lack comparisons to several important baselines from self-supervised learning community, and methods using soft labels for training (as mentioned in 2) above).",asp_meaningful-comparison,EXP,More experiments needed with related work
"While the paper shows experimentally that they aren't as successful as the RFs or IDFs, there's no further discussion on the reasons for poor performance.",asp_meaningful-comparison,EXP,More experiments needed with related work
"Without a proper comparison (formal and experimental) with these lines of work, the paper is incomplete.",asp_meaningful-comparison,EXP,More experiments needed with related work
"So, I have some doubts about the experimental results.",asp_meaningful-comparison,EXP,More experiments needed with related work
"However, there is no comparison with ENAS and DARTS in experiments.",asp_meaningful-comparison,EXP,More experiments needed with related work
"The experiments on synthetic data could be improved: for reproducibility, many works on GANs used the same synthetic data as VEEGAN.",asp_meaningful-comparison,EXP,More experiments needed with related work
"- For the squeezenet and latent permutation experiments, would be nice if there is a comparison to other parameterizations of permutation matrices, e.g. gumbel-sinkhorn.",asp_meaningful-comparison,EXP,More experiments needed with related work
"3. In the introduction, the Authors point that prior methods have trouble dealing with textureless, reflective or transparent approaches, but it's not clear form the paper where it addresses these cases, and if yes, what is the mechanism for that.",asp_meaningful-comparison,INT,"3. In the introduction, the Authors point that prior methods have trouble dealing with textureless, reflective or transparent approaches, but it's not clear form the paper where it addresses these cases, and if yes, what is the mechanism for that."
"Given that object manipulation is the specific application of interest, the comparison with DIAYN and the combined objective with DIAYN is interesting but little motivation or discussion has been provided in the paper.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"As I have mentioned above, actually a lot of methods have been developed to address general image restoration tasks.",asp_meaningful-comparison,MET,Missing theoretical comparisons
Thus I believe authors must compare their method with these state-of-the-art approaches.,asp_meaningful-comparison,MET,Missing theoretical comparisons
The model-based method achieves better validation error than the other baselines that use actual data.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"There are tons of algorithms for image inpainting, denoising, and super-resolution, but the proposed method was not compared with them.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"While the authors say ""attributing a deep network’s prediction to its input is well-studied"" they don't compare directly against these methods.",asp_meaningful-comparison,MET,Missing theoretical comparisons
* Comparison with other methods did not take into account a variety of hyperparameters.,asp_meaningful-comparison,MET,Missing theoretical comparisons
Hence the theoretical sample complexities contributed are not comparable to those of MIME.,asp_meaningful-comparison,MET,Missing theoretical comparisons
It would have been useful to compare the general models here with some specific math problem-focused ones as well.,asp_meaningful-comparison,MET,Missing theoretical comparisons
The proposed approach should compared to other stronger methods such as graph convolution neural network/message passing neural networks/structure2vec.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"However, it’s noteworthy that embedding to a vector could be useful too if the embedding espace is representative of the entire history and the timing of the events.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"For example, in Sections 4 and 5 I was hoping to see comparisons to methods like MAML.",asp_meaningful-comparison,MET,Missing theoretical comparisons
1. Can you clarify why the proposed approach is better than the Meta-RevGrad baseline?,asp_meaningful-comparison,MET,Missing theoretical comparisons
"The authors acknowledge this connection, but I think they should begin by introducing CE and then explain how Cakewalk generalizes it.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"- In active learning, the proposed method should be compared with other methods such as Bayesian DNN using dropout, etc.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"However, the un-standard design of the LSTM models makes it unclear whether the comparisons are solid enough.",asp_meaningful-comparison,MET,Missing theoretical comparisons
My main concerns are about the evaluation and comparison of standard neural models.,asp_meaningful-comparison,MET,Missing theoretical comparisons
I think these issues are against the goal of evaluating standard neural models on the benchmark and will raise doubts about the comparison between different models.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"While the comparison with HSIC is a helpful one, it is also required to compare with the competing method closest to yours, i.e.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"If the authors claim that the proposed MaxConfidence attack method is more powerful than the MaxLoss based attacks, they should provide more comparisons between these methods.",asp_meaningful-comparison,MET,Missing theoretical comparisons
My main concern about this paper is why this algorithm has a better performance than CW attack?,asp_meaningful-comparison,MET,Missing theoretical comparisons
I would suggest comparing with CW attack under different sets of hyper-parameters.,asp_meaningful-comparison,MET,Missing theoretical comparisons
One of the main area which is missing in the paper is the comparison to two other class of RL methods: count-based exploration and novelty search.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"It is fine, but it seems weird that the author still mentioned the setup of MNIST+SVHN in the main text.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"The choice of RBMs is not motivated well and without any comparisons to alternatives, it comes across",asp_meaningful-comparison,MET,Missing theoretical comparisons
"This is true throughout; as stated before it is not clear how many parameters and how much memory these methods need, which makes it impossible to compare.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"In summary, the paper presents what seems like an effective strategy for continual learning, by combining some existing methods together, but does not make it precise what the contributions are and the methodology/analysis make it hard to determine if the comparisons are fair or not.",asp_meaningful-comparison,MET,Missing theoretical comparisons
Why is the second objective log(#params) instead of just #params when the introduction mentions explicitly that tuning the scales between different objectives is not needed in LEMONADE?,asp_meaningful-comparison,MET,Missing theoretical comparisons
"Three of these methods, i.e. Lime, GradCam, PDA, are not designed for producing contrastive explanations, so I am not sure to what extend this comparison is appropriate.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"However, attack in Wasserstein distance and some other methods can also do so.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"Especially if the lower-level component of the hierarchy is pre-trained in a non-MARL setup, it can just be seen as part of the environment from the point of view of the MARL training, offerring limited new insight into MARL.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"Given that you observed that SVHN has higher likelihood on all three model types (PixelCNN, VAE, Glow), why investigate a component specific to just flow-based models (the volume term)?",asp_meaningful-comparison,MET,Missing theoretical comparisons
The paper should compare the proposed work to the InfoGAN work both quantitatively and qualitatively to justify its novelty.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"Finally, the CNN architecture should be compared with modern SAT solvers which have been participating to SAT competitions.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"If the two NNs used in DNN and DNN(resized) are different, I believe it’s still possible to apply the algorithm in DNN(resized) to the NN used in DNN, and get a full trace in the figure as noise and projection changes, which would lead to more fair comparison.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"Though Kaleidoscope include these as special cases, it is not clear whether when given the same resources (either memory or computational cost), Kaleidoscope would outperform them.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"Finally, the paper needs to compare its parameter-reduction approaches against other compression and hyperparameter optimization techniques.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"And while there is an argument to be made for the inherent interestingness of exploring these questions, this angle would be more compelling if multiple encoder architectures were explored and compared.",asp_meaningful-comparison,MET,Missing theoretical comparisons
Have the authors considered to use categorical or binary variables?,asp_meaningful-comparison,MET,Missing theoretical comparisons
"Given that BERT is most robust against their manipulation, it would be good to see a more powerful recurrent model for comparison.",asp_meaningful-comparison,MET,Missing theoretical comparisons
Alternatively why not try using a factorization technique to reduce the rank and then see how well the method does for different ranks?,asp_meaningful-comparison,MET,Missing theoretical comparisons
1a. Comparison to other exploration methods.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"- Since the proposed method starts from Laplace transform, it would be helpful to further discuss the connection between other methods that regularises the eigenvalues of the Jacobian (such as spectral-normalisation), which work in the frequency domain from a different perspective.",asp_meaningful-comparison,MET,Missing theoretical comparisons
Spare few lines of equations to define what are DeepSets and PointNetSeg in the paper and point out the difference since these networks are used throughout the paper extensively without proper mathematical definition.,asp_meaningful-comparison,MET,Missing theoretical comparisons
But the only negative aspect is the basis competitor algorithms are very simple in nature without any form of learning and that are very old.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"Otherwise, it is hard to tell how significant these correlations are. Since the end goal is to determine transferability of tasks and not the methods, it does seem like there are simpler baselines that you could compare against.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"My biggest concern is the lack of comparison with other representation learning methods, which is a very well studied problem.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"However, it looks like authors only compared with VIB which is similar to the proposed method in terms of the objective function.",asp_meaningful-comparison,MET,Missing theoretical comparisons
- The paper mentions the MSVV algorithm twice but no reference or explanation is provided.,asp_meaningful-comparison,MET,Missing theoretical comparisons
"While the authors are using an existing model, they shouldn't assume that the reader has read the paper describing that model.",asp_meaningful-comparison,MET,Missing theoretical comparisons
"2:    The authors should compare against several costs/algorithms (e.g. l_0 with OMP, l_1 with LARS, etc.), and across various N_0/sparsity penalties, and across several datasets.",asp_meaningful-comparison,MET_DAT,"2:    The authors should compare against several costs/algorithms (e.g. l_0 with OMP, l_1 with LARS, etc.), and across various N_0/sparsity penalties, and across several datasets."
"Additionally, I believe the experimental tasks are new, and as a result all implementations of competing techniques are by the paper authors. This makes it difficult to have confidence in the higher reported performance of the proposed techniques.",asp_meaningful-comparison,MET_EXP,Lack of comparison with related works
"The theoretical proof depends on the convexity assumption, I would also suggest comparing the proposed attack with CW and other benchmarks on some simple models that satisfy the assumptions.",asp_meaningful-comparison,MET_EXP,Lack of comparison with related works
"In this light, experiments demonstrating comparisons between GANs and VAEs as the reference generative model for explanations would have made the paper stronger (as the proposed approach relies explicitly on how good the generative model is).",asp_meaningful-comparison,MET_EXP,Lack of comparison with related works
"Furthermore, the experimental section does not compare to other forms of hierarchical approaches for MARL, and generally only provides a single comparison to PPO & MADDPG.",asp_meaningful-comparison,MET_EXP,Lack of comparison with related works
"Besides, in the experiments, the proposed method is not compared to other transfer learning methods.",asp_meaningful-comparison,MET_EXP,Lack of comparison with related works
The proposed method is not appropriately compared with the other methods in experiments.,asp_meaningful-comparison,MET_EXP,Lack of comparison with related works
"4) In the experiments, more comparisons with methods in [1] or [2] should be conducted given they are all parallelizing the backpropagation algorithm and achieve speedup in the training.",asp_meaningful-comparison,MET_EXP,Lack of comparison with related works
"Also, to demonstrate the superiority of the proposed method an appropriate comparison against previous work is needed.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"Besides, as the base classifier is different for various baselines, it is hard to compare the methods.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
2) Applying the model of Hartford et al’18 to problems where interacting sets are identical is similar to applying convolution layer to a feature vector that is not equivariant to translation.,asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"- Jointly learning an inference network (Q) has certainly been done before, and I am not sure authors provide an elaborate enough explanation of what is the difference with adversarially learned inference /  adversarial feature learning.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"Furthermore, no comparisons were provided to any baselines/alternative methods.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
- novelty: the additions proposed are small modifications to existing algorithms and there are other methods of attention on graphs which have been discussed in the paper but not directly compared to (e.g. this method builds heavily on Velickovic et al 2017),asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"Furthermore, the baseline models did not use other almost standard regularisation techniques (weight decay, dropout, batch-norm).",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
But there are no comparisons between the proposed training method and previous related works.,asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"The paper currently only mentions the most related work for the proposed method,  using the whole section 2 to describe VCL and use section 3 to describe FSM and half of section 5 to describe SSR.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"While the section 4 has a discussion on related papers, there's no systematic experimental comparison across these methods.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
RNN-based approaches are with better “complexity” comparing to your sum baseline and “Deepset” approach.,asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"- Relatedly, better baselines should be used; for example, if the memory used by the generative model is merely put to storing randomly chosen instances from the tasks, how will the results compare? Clearly storing instances bypasses the forgetting problem completely (as memory size approaches the dataset size it turns into the joint problem) and it's not clear how many instances are really needed per task, especially for these simpler problems.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
There is no experiment clearly shows convincing evidence of the correctness of the proposed approach or its utility compared to existing approaches (Xie & Ermon (2019); Kool et al. (2019); PlÂšotz & Roth (2018) ).,asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"Thus, I suggest the authors could show the space and time comparisons with the baseline methods to show effectiveness of the proposed method.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"Since this work takes the approach of allowing stale weight updates, the author should also compare with existing distributed training approaches that use asynchronous updates, with or without model parallelism, for example, Dean et al., 2012.",asp_meaningful-comparison,MET_RWK,Incorrect baselines used
- No comparison has been made between their approach and other previous approaches.,asp_meaningful-comparison,MET_RWK,Incorrect baselines used
-  The authors should compare to at least some popular previous approaches that use a feature engineering based methodology such as - IntPred,asp_meaningful-comparison,MET_RWK,Incorrect baselines used
"4. Most importantly, for table4, authors are comparing to the ResNet18 ARNet instead of ResNet50? which is better than the proposed method.",asp_meaningful-comparison,MET_TNF,"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited."
"In addition, I observe that in Table 1, the proposed method does not outperform the Joint Training in SVHN with A_10.",asp_meaningful-comparison,MET_TNF,"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited."
"2. The human score of 91.4% is based on majority vote, which should be compared with an ensemble of deep learning prediction.",asp_meaningful-comparison,RES,More comparisons needed with variations of the proposed method
I don't think this is really a fair comparison; I would have liked to have seen results for the unmodified reward function.,asp_meaningful-comparison,RES,More comparisons needed with variations of the proposed method
"The authors also rely mostly on the FID metric, but do not show if and how there is improvement upon visual inspection of the generated images (i.e. is resolution improved, is fraction of images that look clearly 'unnatural' reduced etc.)",asp_meaningful-comparison,RES,More comparisons needed with variations of the proposed method
The experimental sections look rather mechanical. I would have put some results on the learned embedding. Or some demonstration of the embedded history or probability to intuitively convey the idea and how it works.,asp_meaningful-comparison,RES_EXP,Missing interpretation of results due to missing related work
"- Experimental results provided in the paper are only qualitative -- as such, I do not find the comparisons (and improvements) over the existing approaches convincing enough.",asp_meaningful-comparison,RES_EXP,Missing interpretation of results due to missing related work
"It's hard for me to judge of the experimental results of section 5.3, given that there are no other",asp_meaningful-comparison,RES_EXP,Missing interpretation of results due to missing related work
I am not sure if this is the first work in this direction of proving bounds assuming an oracle or if there is some background work that the authors could provide to put this into context.,asp_meaningful-comparison,RWK,Missing baselines
Attacking CRBMs is highly relevant and should be included as a baseline.,asp_meaningful-comparison,RWK,Missing baselines
"However, the idea is very related to Yeh et al.’s work which has already published but not mentioned at all.",asp_meaningful-comparison,RWK,Missing baselines
"For the bAbi task, although there is a significant improvement (43%) in the mean error rate compared to the original DNC, it's important to note that performance in this task has improved a lot since the DNC paper was release. Since this is the only non-toy task in the paper, in my opinion, the authors have to discuss current SOTA on it, and have to cite, for example the universal transformer[1], entnet[2], relational nets [3], among others architectures that shown recent advances on this benchmark.",asp_meaningful-comparison,RWK,Missing baselines
"- For semi-supervised classification, the paper did not report the best results in other baselines.",asp_meaningful-comparison,RWK,Missing baselines
"The paper also misses several powerful baselines of semi-supervised learning, e.g. [1,2].",asp_meaningful-comparison,RWK,Missing baselines
"1. The paper should also talk about the details of ARNet and discuss the difference, as I assume they are the most related work",asp_meaningful-comparison,RWK,Missing baselines
1) Some of the benchmark datasets for the proposed task as well as some well-known methods (see Battaglia et al’18 and references in there) are missing.,asp_meaningful-comparison,RWK,Missing baselines
"However, I think since this is few-shot learning with domain adaptation, there is no domain adaptation baselines being mentioned in comparison.",asp_meaningful-comparison,RWK,Missing baselines
"The reviewer is also interested to see how the the generalization bound introduced in this paper is related to the recent theoretical works [3],[4] on MDL.",asp_meaningful-comparison,RWK,Missing baselines
"- The paper should refer to 1) the reward shaping literature, 2) the growing line of works concerned with control variates for REINFORCE (such as VIMCO, MuProp, REBAR) and 3) the growing line of works concerned about combinatorial optimization with reinforcement learning (Neural Combinatorial Optimization with Reinforcement Learning, etc.)",asp_meaningful-comparison,RWK,Missing baselines
"It would probably help to position the VAE component more precisely w.r.t. one of the two baselines, by indicating the differences.",asp_meaningful-comparison,RWK,Missing baselines
"The tasks are explicitly designed to exploit these additional parameters - so framing the synthetic experiments as, ""here are some simple functions for which we would need the additional parameters that we define"" makes sense; but arguing that Hartford et al. ""fail approximating rather simple functions"" (page 7) is misleading because the functions are precisely the functions on which you would expect Hartford et al. to fail (because it's designed for a different setting).",asp_meaningful-comparison,RWK,Missing baselines
There should be a better discussion of related work on the topic.,asp_meaningful-comparison,RWK,Missing baselines
=> Baselines: The comparison provided in the paper is weak.,asp_meaningful-comparison,RWK,Missing baselines
"Moreover, in spite of the authors writing that their goal is “completely different” from [Lee at al 18a, Ma et al 18a], I found the two cited papers having a similar intent and approach to the problem, but a comparison is completely missing.",asp_meaningful-comparison,RWK,Missing baselines
A proper baseline should have been compared.,asp_meaningful-comparison,RWK,Missing baselines
"Third, the comparison to baseline and “DeepSet” is not fair.",asp_meaningful-comparison,RWK,Missing baselines
4. Comparison with past works.,asp_meaningful-comparison,RWK,Missing baselines
1) The only comparison to another non-fixed sampling baseline is Kool et al. 2019.,asp_meaningful-comparison,RWK,Missing baselines
This baseline was also missing in image reconstruction.,asp_meaningful-comparison,RWK,Missing baselines
This seems like a very weak baseline---there are any number of other reasonable ways to encode this.,asp_meaningful-comparison,RWK,Missing baselines
"Why not compare results to WGAN-GP in this case? Since the proposal of GANs, many papers addressed the mode collapse problem.",asp_meaningful-comparison,RWK,Missing baselines
"For e.g. the results on the oscillating behavior of Dirac-GAN are described in related works (e.g. Mescheder et al. 2018), and in practice, WGAN with no regularization is not used (as well as GAN with momentum, as normally beta1=0 in practice).",asp_meaningful-comparison,RWK,Missing baselines
I am also wondering if the comparison with the baselines is fair.,asp_meaningful-comparison,RWK,Missing baselines
"In other words, although in the present results, the proposed NF-SGAN/WGAN outperforms the baseline, the reported performance of the baselines is worse than in related works on CIFAR10.",asp_meaningful-comparison,RWK,Missing baselines
"On a more minor note, the paper [1] seems to report 4.95 accuracy for MixMatch on CIFAR-10 with 4k labels, while in this paper it’s being reported as 6.24.",asp_meaningful-comparison,RWK,Missing baselines
"However, there are papers empirically analyzing novelty detection using generative model -- should analyze or at least cite:",asp_meaningful-comparison,RWK,Missing baselines
Weakness: It would be good to see some comparison to the state of the art,asp_meaningful-comparison,RWK,Missing baselines
The main issue of this paper is the fair comparisons with other works.,asp_meaningful-comparison,RWK,Missing baselines
- Baseline missing: Random actions from expert,asp_meaningful-comparison,RWK,Missing baselines
- Baseline missing: Simple RNN policies that communicate hidden states.,asp_meaningful-comparison,RWK,Missing baselines
Another baseline could be to simply model the imitator and probing policies as RNNs and let them communicate with each other via the hidden states.,asp_meaningful-comparison,RWK,Missing baselines
"- comparison should be made to the linear composition method in the Arora, Liang, Ma ICLR 2017 paper",asp_meaningful-comparison,RWK,Missing baselines
"However, there is no comparison against existing work.",asp_meaningful-comparison,RWK,Missing baselines
"However, memory overhead is still an issue compared to existing method.",asp_meaningful-comparison,RWK,Missing baselines
It is important to place the contributions in this paper in context of these other works.,asp_meaningful-comparison,RWK,Missing baselines
A number of these references are missing and no experimental comparison to these methods has been made.,asp_meaningful-comparison,RWK,Missing baselines
"* In related work, no reference to previous work on ""statistical"" approaches to NN",asp_meaningful-comparison,RWK,Missing baselines
There should be some kind of comparison with test set results from other state-of-the-art work on these datasets.,asp_meaningful-comparison,RWK_DAT,There should be some kind of comparison with test set results from other state-of-the-art work on these datasets.
"However, the experiments conducted generally show that SAVP offers only a trade-off between the visual quality of GANs and the coverage of VAEs, and does not show a clear advantage over current VAE models (Denton & Fergus, 2018) that with simpler architectures obtain similar results.",asp_meaningful-comparison,RWK_EXP,Missing theoretical comparisons
"With regards to the fMRI experiments, good baselines are missing: DEMINE is compared to Pearson correlation.",asp_meaningful-comparison,RWK_EXP,Missing theoretical comparisons
"E.g., in Table 1 and 2,  the best result of VAT (Miyato et al., 2017) is VAT+Ent, 13.15 for CIFAR-10 (4000 labels) and 4.28 for SVHN (1000 labels).",asp_meaningful-comparison,RWK_RES,"E.g., in Table 1 and 2,  the best result of VAT (Miyato et al., 2017) is VAT+Ent, 13.15 for CIFAR-10 (4000 labels) and 4.28 for SVHN (1000 labels)."
"The author never explains. E.g., link to NRMSE and PFC to the Table.",asp_meaningful-comparison,TNF,Missing explanation of comparsion with related work in tables and figures
"4. From Figure 6 and Figure 8-11, it looks like the bandit is more or less on par with fixed exploration policies.",asp_meaningful-comparison,TNF,Missing explanation of comparsion with related work in tables and figures
- I believe one should not compare the distance shown between the left and right columns of Figure 3 as they are obtained from two different models.,asp_meaningful-comparison,TNF,Missing explanation of comparsion with related work in tables and figures
Unfortunately the paper doesn't provide any qualitative analysis on how modulation is employed by the models after training.,asp_motivation-impact,ANA,Unfortunately the paper doesn't provide any qualitative analysis on how modulation is employed by the models after training.
"In terms of applicability, it seems that many cases where discrete latent variables would be really interesting are not covered (e.g. sigmoid belief networks); the paper demonstrates experiments with discrete images (binary or 4-bit) not particularly motivated in my opinion.",asp_motivation-impact,EXP,Missing explanation of utility of proposed method
"However, it looks to me that the authors need to better explain the motivation of DiVA, the differences of DiVA from existing supervised VAE, and the experimental settings, before the acceptance of this paper.",asp_motivation-impact,EXP,Missing explanation of utility of proposed method
"After reading, the reviewer cannot understand why the user should bother to use hyperbolic representations that are more complex to compute in GCNs, given that the experimental results are roughly the same.",asp_motivation-impact,EXP,Missing explanation of utility of proposed method
"If faster training of dictionary learning models was a bottleneck in practical applications, this might be of interest, but it is not.",asp_motivation-impact,EXP,Missing explanation of utility of proposed method
My main concern with the paper is its limited applicability to robotic manipulation tasks with a clear divide between states of interest vs others.,asp_motivation-impact,MET,Limited insights based on design choices
"Overall, I do not feel the comparisons dramatically change the qualitative understanding the field has of the different optimizers and their tunability.",asp_motivation-impact,MET,Limited insights based on design choices
"While the presentation is clear and the evaluation of the model is thorough, I am unsure of the significance of the proposed method.",asp_motivation-impact,MET,Limited insights based on design choices
"That is, authors assumed that they have a degradation function F and all the inference process is just based on this known function.",asp_motivation-impact,MET,Limited insights based on design choices
Thus we may only apply the proposed model on a few tasks with exactly known F.,asp_motivation-impact,MET,Limited insights based on design choices
If the authors don't discuss a motivation then how will a reader know how to apply the tool?,asp_motivation-impact,MET,Limited insights based on design choices
- My biggest concern is that the technical contributions of the paper are not clear at all.,asp_motivation-impact,MET,Limited insights based on design choices
"While, the paper is a plaisant read, I find difficult to access its importance and the applicability of the ideas presented beyond the analogy with the capacity computation. Perhaps other referee will have a clearer opinion.",asp_motivation-impact,MET,Limited insights based on design choices
"Con: not clear to me how strong and wide the implications are, beyond the analogies and the reinterpretation",asp_motivation-impact,MET,Limited insights based on design choices
This very much limits the utility of the method.,asp_motivation-impact,MET,Limited insights based on design choices
"- VAE, GAN: q is the generative model defined as a mapping of a standard multivariate normal distribution by a NN.",asp_motivation-impact,MET,Limited insights based on design choices
- sigmoid belief networks: q is a Bayesian network where each conditional distribution is a logistic regression model.,asp_motivation-impact,MET,Limited insights based on design choices
"Hence, the effectiveness and advantage of the proposed methods are not clear.",asp_motivation-impact,MET,Limited insights based on design choices
I have no idea that what is the propose of defining a new evaluation method and how this new evaluation method helps in the further design of the MaxConfidence method.,asp_motivation-impact,MET,Limited insights based on design choices
I don’t think it is of any practical use to show that a new algorithm (such at DDGD) provide some defence compared to no defence.,asp_motivation-impact,MET,Limited insights based on design choices
(2) The method is not well motivated.,asp_motivation-impact,MET,Limited insights based on design choices
The model is not well motivated and the optimization algorithm is also not well described.,asp_motivation-impact,MET,Limited insights based on design choices
"I like the area of research the authors are looking into and I think it's an important application. However, the paper doesn't answer key questions about both the application and the models:",asp_motivation-impact,MET,Limited insights based on design choices
One drawback is that it is highly specific to language models.,asp_motivation-impact,MET,Limited insights based on design choices
"In addition, there is not much theoretical justification for it, it seems like a one-off trick.",asp_motivation-impact,MET,Limited insights based on design choices
"The main drawback of the paper is that it seems to be more engineering-focused, and doesn’t provide much insight into semi-supervised learning.",asp_motivation-impact,MET,Limited insights based on design choices
The privacy definition employed in this work is problematic.,asp_motivation-impact,MET,Limited insights based on design choices
Why larger reconstruction error achieves stronger privacy protection? I could not find any formal relationship between reconstruction error and privacy.,asp_motivation-impact,MET,Limited insights based on design choices
"(2) The paper does not do a great job of convincing the reader that the problem it is trying to solve is an important matter, or the proposed method is indeed effective in some applications.",asp_motivation-impact,MET,Limited insights based on design choices
"3. Estimating entropies is a standard practice in statistics and machine learning, with an arsenal of estimators; the motivation of the submission is questionable.",asp_motivation-impact,MET,Limited insights based on design choices
"As pointed out in the weakness section, many design choices are not well motivated, and the effects of those designs are not well studied.",asp_motivation-impact,MET,Limited insights based on design choices
"In my opinion, due to how many researchers are and have been looking into improvements of language modeling, the authors may find it hard to break new ground in this direction.",asp_motivation-impact,MET,Limited insights based on design choices
