sentence,index,review_action,fine_review_action,aspect,target
I understand that the main contribution of the work is the theoretical analysis of the proposed method but would like to see some numerical evaluation in the main paper.,,arg_request,arg-request_result,asp_substance,5
There are some preliminary results in the appendix but it will be useful for the reader if there are are some plots showing the benefit of the method in comparison with existing methods that guarantee convergence (which method is faster?).,,arg_request,arg-request_result,asp_substance,5
I will keep my score the same but I highly encourage the authors to add some clarification related to my last comment on the globally bounded gradient.,,arg_request,arg-request_edit,asp_clarity,1
This needs to be clear in the paper (add clear arguments and related references).,,arg_request,arg-request_edit,asp_clarity,1
The authors either need to remove these results or restate them in a different way in order to satisfy the assumed conditions.,,arg_request,arg-request_edit,asp_soundness-correctness,1
Have authors ever tried Sinkhorn iteration?,,arg_request,arg-request_clarification,asp_substance,4
It would be nice if authors can provide some reasons and comparisons for their choice on the optimizer of W_U.,,arg_request,arg-request_explanation,asp_replicability,0
Does it mean that the W_s is not as stable as W_L or W_U during training?,,arg_request,arg-request_clarification,asp_soundness-correctness,4
"In such a situation, both the value and the dynamics of W_s will be very close to that of W_U. Does it mean that W_L is not so important as W_U?",,arg_request,arg-request_clarification,asp_soundness-correctness,4
"- The end of the 2nd line of lemma 1: P, G should be \mathbb{P}, \mathbb{G}",,arg_request,arg-request_typo,asp_clarity,3
- The 3rd line of lemma 1: epsilon1 -> epsilon_1,,arg_request,arg-request_typo,asp_clarity,3
"- Page 14, Eq(14), \lambda should be s",,arg_request,arg-request_typo,asp_clarity,3
"- Page 14, Eqs(13, 14), w(\mathbb{P}, \mathbb{G}) should appear on the right.",,arg_request,arg-request_typo,asp_clarity,3
Results on more scenes will make the performance more convincing.,,arg_request,arg-request_experiment,asp_substance,2
"I also wonder if the video data will be released, which could be important for the following comparisons.",,arg_request,arg-request_result,asp_replicability,5
"2. As to the results of the Pose2Pose network, I wonder if there are some artifacts that will affect the performance of the Pose2Frame network.",,arg_request,arg-request_explanation,asp_substance,0
"Then, there will be another question: how the two networks are trained? Are they trained separately or jointly?",,arg_request,arg-request_explanation,asp_replicability,0
I wonder how the straightforward regression term plus the smooth term will perform for the mask.,,arg_request,arg-request_explanation,asp_substance,0
"Here, the straightforward regression term means directly regress the output mask to the target densepose mask. Will the proposed mask term perform better?",,arg_request,arg-request_explanation,asp_substance,0
It would have been useful to compare the general models here with some specific math problem-focused ones as well.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
- One area that could stand to be improved is prior work.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
I'd like to see more of a discussion of *prior data sets* rather than papers proposing models for problems.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"- The authors note that previous datasets are often specific to one type of problem (i.e., single variable equation solving). Why not then combine multiple types of extant problem sets?",,arg_request,arg-request_explanation,asp_substance,0
"Presumably the cost here would be to physically scan some of these workbooks, but this seems like a very limited investment. Why not build datasets based on workbooks, problem solving books, etc?",,arg_request,arg-request_explanation,asp_substance,0
- How do are the difficulty levels synthetically determined?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"- When generating the questions, the authors ""first sample the answer"". What's the distribution you use on the answer? This seems like it dramatically affects the resulting questions, so I'm curious how it's selected.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
- The general methodology of generating questions and ensuring that no question is too rare or too frequent and the test set is sufficiently different---these are important questions and I commend the authors for providing a strong methodology.,,arg_request,arg-request_edit,asp_soundness-correctness,1
But it's not clear to me why testing more sophisticated models that are tailored for math questions would *not* be useful.,,arg_request,arg-request_clarification,asp_soundness-correctness,4
- Really would be good to do real-world tests in a more extensive way.,,arg_request,arg-request_experiment,asp_substance,2
"A 40-question exam for 16 year olds is probably far too challenging for the current state of general recurrent models. Can you add some additional grades here, and more questions?",,arg_request,arg-request_edit,asp_substance,1
"- For the number of thinkings steps, how does it scale up as you increase it from 0 to 16? Is there a clear relationships here?",,arg_request,arg-request_explanation,asp_clarity,0
"- Minor typo: in the abstract: ""test spits"" should be ""test splits""",,arg_request,arg-request_typo,asp_clarity,3
"While these may indeed be working as advertised, it would be good to see some evaluation that verifies that after learning, what is actually happening is coreference.",,arg_request,arg-request_result,asp_substance,5
Why does the graph update require coreference pooling again?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"Don't the updates in Eq 1 and 2 take care of this? The ablation does not test this, right?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"Another modeling choice that is not clear is regarding how the model processes the text -- reading prefixes of the paragraph, rather than one sentence at a time. What happens if the model is changed to be read one sentence at a time?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"On page 4, State update function, what is the meaning of variable ""Epsilon"" in the equation?",,arg_request,arg-request_clarification,asp_clarity,4
"From the supplementary, it seems Epsilon means the environment?",,arg_request,arg-request_clarification,asp_clarity,4
"Since q_rel require one hot vector as input, how to sample the q_rel given the importance score and how backprob the gradient in this case?",,arg_request,arg-request_clarification,asp_replicability,4
My assumption is the visual feature already contains the label information for image captioning.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"5. On relational detection task, is there a way to compare with the STOA method on some specific data split? This will leads to much more convincing results.",,arg_request,arg-request_experiment,asp_substance,2
"6. Similar as above question, on the object counting task, is there a way to compare with previous counting methods?",,arg_request,arg-request_experiment,asp_substance,2
Is the number right?,,arg_request,arg-request_clarification,asp_soundness-correctness,4
Is \eta_{\mathcal{H}} is a better estimation that previous adaptability term in multi-source DA? What is the role of \eta_{\mathcal{H}} in the algorithm design? How to control it in empirical algorithm?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
Minor: The abstract could be improved by providing more clear pointers to the presented novelty.,,arg_request,arg-request_edit,asp_substance,1
"-4 Talking about ""agents"" and ""Multi-Agent"" is a somewhat confusing given the slightly different use of the same term in the reinforcement literature. Why not just ""mapping"" or ""network""?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
So is the REINFORCE estimator used or something? Not that the importance sampling matter is orthogonal.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"In the case of continuous data x, is the reparameterization trick used?",,arg_request,arg-request_clarification,asp_soundness-correctness,4
"The paper should quantify that this leads to diverse ""agents"".",,arg_request,arg-request_edit,asp_soundness-correctness,1
"Have you considered training different agents on different subsets of the data, or trying different learning algorithms/architectures to learn them?",,arg_request,arg-request_explanation,asp_substance,0
More experiments on the diversity would help make the paper more convincing.,,arg_request,arg-request_experiment,asp_substance,2
"Instead of reporting a single time-vs-distortion data point, the authors could show the full trade-off curve.",,arg_request,arg-request_experiment,asp_substance,2
"- The authors only provide running times, not the number of iterations.",,arg_request,arg-request_experiment,asp_substance,2
"In principle all the algorithms should have a similar bottleneck in each iteration (computing a gradient for the input image), but it would be good to verify this with an iteration count vs success rate (or distortion) plot.",,arg_request,arg-request_experiment,asp_substance,2
This would also allow the authors to compare their theoretical iteration bound with experimental data.,,arg_request,arg-request_experiment,asp_substance,2
"In addition to these three main points, the authors could strengthen their results by providing experiments on another dataset (e.g., CIFAR-10) or model architecture (e.g., a ResNet), and by averaging over a larger number of test data points (currently 200).",,arg_request,arg-request_experiment,asp_substance,2
I encourage the authors to clarify these points in an updated version of their paper.,,arg_request,arg-request_clarification,asp_substance,4
"- How multimodal are the datasets provided by UCI? It seems like they consist of different tabular datasets with numerical or categorical variables, but it was not clear what the modalities are (each variable is a modality?) and how correlated the modalities are. If they are not correlated at all and share no joint information I'm not sure how these experiments can represent multimodal data.",,arg_request,arg-request_clarification,asp_soundness-correctness,4
"They should consider larger-scale datasets including image and text-based like VQA/VCR, or video-based like the datasets in (Tsai et al., ICLR 2019).",,arg_request,arg-request_experiment,asp_substance,2
"- In terms of prediction performance, the authors should also compare to [1] and [2] which either predict the other modalities completely during training or use tensor-based methods to learn from noisy or missing time-series data.",,arg_request,arg-request_edit,asp_meaningful-comparison,1
Is this how you implemented minibatching in practice? How easily is this applied to convolutional architectures?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
- How many samples did you use from p(theta|x) during training?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
- The experiments were entirely focused on uncertainty quality but we are always interested in both performance on the task at hand as as well as good uncertainty estimates. What was the performance based on e.g. classification accuracy on each of these tasks compared to the baselines? I believe that including these results will strengthen the paper and provide a more complete picture.,,arg_request,arg-request_experiment,asp_substance,2
- Have you checked / visualised what type of weight distributions do CDNs capture? It would be interesting to see if e.g. the marginal (across the dataset) weight distribution at each layer has any multimodality as that could hint that the network learns to properly specialise to individual data points.,,arg_request,arg-request_experiment,asp_substance,2
How influential is that extra term to the uncertainty quality that you obtain in the end?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
How does this term affect the learned distributions in case of CDNs?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
More discussion on both of these aspects can help in improving this paper.,,arg_request,arg-request_experiment,asp_substance,2
"Thus I believe that it would be better if you consider the same hyper parameter on all of these methods, e.g. the precision of the Gaussian prior.",,arg_request,arg-request_experiment,asp_substance,2
* Fig. 3 needs more explanation.,,arg_request,arg-request_explanation,asp_clarity,0
"The horizontal axes are unlabelled, and ""margin normalization"" is confusing when shown together with SN without an explanation.",,arg_request,arg-request_edit,asp_clarity,1
Perhaps it's helpful to briefly introduce it in addition to citing Bartlett et al. 2017.,,arg_request,arg-request_edit,asp_meaningful-comparison,1
* The epsilons in Fig. 5 have very different scales (0 - 0.5 vs. 0 - 5). Are these relevant to the specific algorithms and why?,,arg_request,arg-request_explanation,asp_clarity,0
"A typo in page 6, last line: wth -> with",,arg_request,arg-request_typo,arg_other,3
However it is valuable to have a similar analysis closer to the batch normalization setting used by most practitioners.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"- Currently there is no experimental evaluation of the claims, which would be valuable given that the setting doesn't immediately apply in the normal batch normalization setting.",,arg_request,arg-request_experiment,asp_substance,2
I would like to see evidence that the main benefit from batch normalization indeed comes from picking a good adaptive learning rate.,,arg_request,arg-request_result,asp_soundness-correctness,5
"However, I found the contribution of the actor-critic model is insufficient and requires additional experimental validation (see below).",,arg_request,arg-request_experiment,asp_substance,2
"2. Since the actor-critic model is the novel component in this model (propagating gradients through the learned dynamics), I would like to see additional analysis and baseline comparisons of this method to previous actor-critic policy learning methods, such as DDPG and SAC training on the (fixed) latent state representations, and recent work of MVE or STEVE that use the learned dynamics to accelerate policy learning with multi-step updates.",,arg_request,arg-request_experiment,asp_substance,2
It'd be interesting to see how optimization of the actions would lead to better state representations by propagating gradients from the actor-critic model to the world model.,,arg_request,arg-request_experiment,asp_substance,2
Reward prediction along --> Reward prediction alone,,arg_request,arg-request_typo,asp_clarity,3
this limitation in latenby?,,arg_request,arg-request_typo,asp_clarity,3
"The large number of experiment although welcoming needs to be properly discussed and related to the state of the art numbers, including any work that the authors are referring themselves in this submission.",,arg_request,arg-request_edit,asp_soundness-correctness,1
It would be better if these heuristic arguments can be formed as theorems as well.,,arg_request,arg-request_result,asp_soundness-correctness,5
Is this a coincidence or a general phenomenon? Is there a theoretical explanation?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"Therefore, an interesting baseline for the evaluation of the ICL approach would be a predefined, fixed attention map consisting of concentric circles with the image center as their center, to show that the proposed approach does more than just deemphasizing the corners of the image)",,arg_request,arg-request_experiment,asp_substance,2
"Therefore, it may be a good idea for the authors to analyze the correlation between FSM changes and accuracy changes.",,arg_request,arg-request_experiment,asp_substance,2
"However, given that the achieved performance gains over the state-of-the-art are fairly small, it would be good to assess if the obtained improvements are statistically significant.",,arg_request,arg-request_experiment,asp_substance,2
"Furthermore, it may be informative to show the saliency maps in Figure 5 not only for cases in which the learner classified the image correctly in both time steps, but also cases in which the learner classified the image correctly the first time and incorrectly the second time.",,arg_request,arg-request_experiment,asp_substance,2
"Additionally, the previously mentioned evaluation steps, i.e., using a fixed attention map as baseline for the evaluation and evaluating the correlation between FSM and accuracy may be informative to illustrate the advantages of the proposed approach.",,arg_request,arg-request_experiment,asp_substance,2
The efficacy of the separate modifications should be tested.,,arg_request,arg-request_experiment,asp_substance,2
"Therefore I would like to see experiments with the ES cost function, but with",,arg_request,arg-request_experiment,asp_substance,2
"- I might have missed that, but are the authors offering an interpretation of their observation that the performance of the self-modulation model performs worse in the combination of spectral normalization and the SNDC architecture?",,arg_request,arg-request_experiment,asp_substance,2
I am curious about why that might be.,,arg_request,arg-request_explanation,asp_substance,0
- I would like to see some more interpretation on why this method works.,,arg_request,arg-request_clarification,asp_substance,4
- Did the authors inspect generated samples of the baseline and the proposed method? Is there a notable qualitative difference?,,arg_request,arg-request_experiment,asp_substance,2
"Overall, the idea is simple, the explanation is clear and experimentation is extensive. I would like to see more commentary on why this method might have long-term impact (or not).",,arg_request,arg-request_clarification,asp_motivation-impact,4
The authors need to be clear about their contribution. Is the paper only about replacing the traditional parametric functions of influence and probability with  deep neural networks?,,arg_request,arg-request_clarification,asp_motivation-impact,4
The experimental sections look rather mechanical. I would have put some results on the learned embedding. Or some demonstration of the embedded history or probability to intuitively convey the idea and how it works.,,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"This is discussed on p4, but it's unclear to me how keeping $\sigma$ separate is benefitial for the analysis, and this is not picked up again explicitly again?",,arg_request,arg-request_explanation,asp_clarity,0
"- page 4, Sect. 4.4: Architecture of $\alpha$ would be nice (more than a linear layer?)",,arg_request,arg-request_explanation,asp_replicability,0
"- page 5, paragraph 3: ""we from some"" -> ""we start from some""",,arg_request,arg-request_typo,asp_clarity,3
"- p6par1: ""much cheaper then computing"" -> than",,arg_request,arg-request_typo,asp_clarity,3
"- p6par6: ""on formulas that with"" -> no that",,arg_request,arg-request_typo,asp_clarity,3
"- p6par7: ""measure how rate"" -> ""measure the rate""",,arg_request,arg-request_typo,asp_clarity,3
"- p8par1: ""approximate embedding $\alpha(e(\gamma'(...)))$ - $e$ is undefined and should probably be $e'$ (this is also the case in the caption of Fig. 5), and $c'$ should probably be included as well.",,arg_request,arg-request_edit,asp_soundness-correctness,1
"I believe that's what ""Pred (One Step)"" expresses, but it would maybe be generally helpful to be more precise about the notation",,arg_request,arg-request_edit,asp_clarity,1
The paper can be made more mathematically precise.,,arg_request,arg-request_edit,asp_clarity,1
The input and output types of each block in Figure 1. should be clearly stated.,,arg_request,arg-request_edit,asp_clarity,1
"For example, in Section 3.2, it can be made clear that the domain of the quantization function is the real and the codomain is a sequence k bits.",,arg_request,arg-request_edit,asp_clarity,1
"Since the paper relies so heavily on Lee et al., the authors should make an effort to summarize the approach in a mathematically precise way.",,arg_request,arg-request_edit,asp_clarity,1
Both the results on the development set and on the test set should be reported for the validity of the experiments.,,arg_request,arg-request_experiment,asp_substance,2
"In other words: at test time, do you present the original images only or transformed images too?",,arg_request,arg-request_explanation,asp_replicability,0
"-	In section 4, it is unclear why only the maximal activation of the softmax layer is used to characterize a sample? Why not considering the full distribution that should contain richer information? Why just focusing on the output layer and why not using the info available at intermediate layers?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"The authors should more clearly define what the private, public and evaluation sets are, right from the beginning.",,arg_request,arg-request_edit,none,1
"Again, why not using the distribution of the outputs of all layers? Why focusing only on the output of the last layer?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
- How is the linearization of the inout done? It  typically matters,,arg_request,arg-request_explanation,asp_substance,0
"- Given the small size of the dataset, I would propose experimenting with non-neural approaches as well, which are also quite common in NLG.",,arg_request,arg-request_experiment,asp_replicability,2
What were the guidelines used?,,arg_request,arg-request_explanation,asp_clarity,0
-- What can be said about how computationally demanding the procedure is? running label propagation within meta learning might be too costly.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
-- solving Eq 3 by matrix inversion does not scale. Would be best to also show results using iterative optimization,,arg_request,arg-request_edit,asp_soundness-correctness,1
It would be interesting to see how deep networks do for the hard cases.,,arg_request,arg-request_experiment,asp_substance,2
"It would also be interesting to see if additional assumptions, such as the existence of clusters or separation between clusters, make ordinal embedding simpler and thus tractable.",,arg_request,arg-request_result,asp_substance,5
Thinking along these directions would bring more insight and impact to both the ordinal embedding problem and optimization in deep networks.,,arg_request,arg-request_result,asp_substance,5
--> isn't this the same as using the hinge loss to bound the zero-one loss?,,arg_request,arg-request_clarification,asp_substance,4
It would be good to see more analysis on the axioms 1 through to 4 for the sake of completeness in the light of partial axiomatization of conductance.,,arg_request,arg-request_explanation,asp_substance,0
"It would be good to see some more insight in order to relate to interpretability of the importance of neurons, although there has been no claims made on it as its hard to measure importance without interpretability.",,arg_request,arg-request_explanation,asp_substance,0
"One issue is perhaps, very little in terms of related work.",,arg_request,arg-request_edit,asp_meaningful-comparison,1
I am curious to know if authors observe similar convergence gains in bAbI tasks as well. Can you please provide the mean learning curve for bAbI task for DNC vs proposed modifications?,,arg_request,arg-request_explanation,asp_substance,0
Can the authors elaborate on why this choice should intuitively be better than the proposed method alone?,,arg_request,arg-request_edit,asp_meaningful-comparison,1
"If that is true, I would suggest the authors to make this hidden assumption clearer in the paper",,arg_request,arg-request_edit,asp_clarity,1
1. The observation that gradients explode in spite of BN is quite counter-intuitive. Can you give an intuitive explanation of why this occurs?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"2. In a similar vein, there a number of highly technical results in the paper and it would be great if the authors provide an intuitive explanation of their theorems.",,arg_request,arg-request_clarification,asp_clarity,4
3. Can the statistics of activations be controlled using activation functions or operations which break the symmetry?,,arg_request,arg-request_explanation,asp_clarity,0
"For instance, are BSB1 fixed points good for training neural networks?",,arg_request,arg-request_explanation,asp_clarity,0
"4. Mean field analysis, although it lends an insight into the statistics of the activations, needs to connected with empirical observations.",,arg_request,arg-request_experiment,asp_substance,2
It would be good to mention this in the introduction or the conclusions.,,arg_request,arg-request_edit,asp_soundness-correctness,1
-	Can you elaborate more on why BatchNorm statistics are computed across all devices as opposed to per-device? Was this crucial for best performance?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
-	It is not clear if provided analysis for large-scale GANs apply for small-medium sized GANs.,,arg_request,arg-request_clarification,asp_clarity,4
Providing such analysis would be also helpful for the community.,,arg_request,arg-request_result,asp_clarity,5
"-	How do you see the impact of the suggested techniques on tackling harder data-modalities for GANs, e.g. text or sequential data in general?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"For the language translation results, were there any other state-of-the-art methods that the authors could compare against? It seems they are only comparing against their own implementations.",,arg_request,arg-request_clarification,asp_substance,4
Objectively saying that the author's method is better than CycleGAN is difficult. How does their ensemble method compare to just their single-agent dual method? Is there a noticeable difference there?,,arg_request,arg-request_clarification,asp_soundness-correctness,4
"Perhaps I missed it, but I believe Dan Ciresan's paper ""Multi-Column Deep Neural Networks for Image Classification"" should be cited.",,arg_request,arg-request_edit,asp_meaningful-comparison,1
"Minor:  Since the action is denoted by ""a"",  it will be more clear if the authors use another symbol to denote the parameter of q(z) instead of ""\alpha"" at Eq 10 and 15.",,arg_request,arg-request_typo,asp_clarity,3
Does such approximation guarantee the policy improvement?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
Any justification?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
"(3) Instead of using the mean policy approximation in Eq 12, the authors should consider existing Monte Carlo techniques to reduce the variance of the gradient estimation.",,arg_request,arg-request_experiment,asp_substance,2
"For example, [1] could be used to reduce the variance of gradient w.r.t. \phi.",,arg_request,arg-request_experiment,asp_substance,2
(4) Are \theta and \phi jointly and simultaneously optimized at Eq 12?,,arg_request,arg-request_explanation,asp_replicability,0
The authors should clarify this point.,,arg_request,arg-request_explanation,asp_replicability,0
"(5) Due to the mean policy approximation, does the mean policy depend on \phi?",,arg_request,arg-request_explanation,asp_replicability,0
The authors should clearly explain how to update \phi when optimizing Eq 12.,,arg_request,arg-request_explanation,asp_replicability,0
"(6) If the authors jointly and simultaneously optimize \theta and \phi, why a regularization term about q_{\phi}(z)  is missing in Eq 12 while a regularization term about \pi_{\theta|z} does appear in Eq 12?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"For example, how to compute the gradient w.r.t. \phi? Since the mean policy is used, it is not apparent that how to compute the gradient w.r.t. \phi.",,arg_request,arg-request_experiment,asp_replicability,2
"Minor, 1/2 is missing in the last line of Eq 19.",,arg_request,arg-request_typo,asp_clarity,3
"That said, I would like to see more analysis on the behavior of the proposed method under various interesting cases not tested yet.",,arg_request,arg-request_experiment,asp_substance,2
How does the proposed method perform in more complicated tasks such as,,arg_request,arg-request_experiment,asp_replicability,2
Will it still be more favorable than other concerning baselines?,,arg_request,arg-request_explanation,asp_replicability,0
"- The word in the title should be “Convolutional”, right?",,arg_request,arg-request_typo,asp_clarity,3
"Also, the writing can be improved by making the writing more concise and formal (examples of informal: ""spoil the network"", ""model is spoiled"", ""problem of increased classes"", ""many recent researches have been conducted"", ""lots of things to consider for training"", ""supervised learning was trained"" etc.).",,arg_request,arg-request_edit,asp_clarity,1
The contributions of the method could also be underlined more clearly in the abstract and introduction.,,arg_request,arg-request_edit,asp_clarity,1
How can you interpret such a thought experiment?,,arg_request,arg-request_explanation,asp_substance,0
"Could you elaborate more on why the selection network is needed? How would it compare to a simple strategy of only including the datapoints whose top-1 prediction of ""classification network"" is greater than some threshold?",,arg_request,arg-request_explanation,asp_substance,0
"Finally, could you show a plot of top-1 prediction of ""classification network"" vs score of ""selection network"" and elaborate on that?",,arg_request,arg-request_experiment,asp_substance,2
"It would be interesting to see how these heuristics would do without ""selection network"", for example, either by doing simple self-training with thresholding on the score of the classifier or by applying only these heuristics in combination with TempEns+SNTG.",,arg_request,arg-request_experiment,asp_substance,2
How did you chose the current values? How sensitive is it? Why various datasets need different settings? How the threshold value can be set in practice?,,arg_request,arg-request_explanation,asp_substance,0
Another important parameters is the number of iterations of the algorithm.,,arg_request,arg-request_clarification,asp_substance,4
How was it chosen?,,arg_request,arg-request_clarification,asp_substance,4
"Concerning the experiments of section 4.2, how would the baseline methods of section 4.1 do in this case? Why did you select to study animal vs non-animals sets of classes?",,arg_request,arg-request_explanation,asp_substance,0
What would happen if you use random class splits or split animal classes (like in a more realistic scenario)?,,arg_request,arg-request_explanation,asp_substance,0
- The setting of including unrelated classes in the unlabeled data resembles transfer learning setting. Could you explain why the ideas from transfer learning are not applicable in your case?,,arg_request,arg-request_explanation,asp_substance,0
"- In the training procedure of ""selection network"" of Sections 3.1, do you use the same datapoints to train a ""classification network"" and ""selection network""? If it is the case, how do you insure that the ""classification network"" does not learn to fit the data perfectly and thus all labels s_i are 1?",,arg_request,arg-request_explanation,asp_substance,0
"- In the last sentences of the first paragraph on p.2 you make a contrast between using softmax and sigmoid functions, however, normally the difference between them is their use in binary or multiclass classification. Is there anything special that you want to show in you case?",,arg_request,arg-request_explanation,asp_substance,0
"- What do you mean in section 3.3 by ""if one class dominates the dataset, the model tends to overfit""?",,arg_request,arg-request_explanation,asp_substance,0
- I think parameters of training the networks from the beginning of section 4 could be moved to the supplementary materials.,,arg_request,arg-request_edit,arg_other,1
- Figure 3: wouldn't the plot of accuracy vs amount of data be more suitable here?,,arg_request,arg-request_explanation,asp_clarity,0
- Synthetic experiments of supplementary materials: the gains of the methods seem to be small. What are the numerical results? What would happen if you allow to select starting point at random (a more realistic case)?,,arg_request,arg-request_result,asp_substance,5
"- Can you explain the sentence ""To prevent data being added suddenly, no data was added until 5 iterations""?",,arg_request,arg-request_explanation,asp_substance,0
- How was it possible to improve the performance in experiment of section 4.2 with 100% of irrelevant classes?,,arg_request,arg-request_explanation,asp_substance,0
"Why, for example, did the authors only perform variational inference with the current and previous frames? Did conditioning on additional frames offer limited further improvement? Can the blurriness instead be attributable to the weak inference model?",,arg_request,arg-request_experiment,asp_substance,2
"If the authors have any ablation studies to back up their design choices, that would also be much appreciated, and will make this a more valuable paper for readers.",,arg_request,arg-request_clarification,asp_substance,4
"- While the results on SQOOP dataset are interesting, it would have been very exciting to see results on other synthetic datasets.",,arg_request,arg-request_experiment,asp_meaningful-comparison,2
"However, in the most general setting NMN will form a DAG and it would have been interesting to see what form of DAGs generalize better than other.",,arg_request,arg-request_experiment,asp_substance,2
"- It is not clear to me how the analysis done in this paper will generalize to other more complex datasets where the network layout NMN might be more complex, the number of modules and type of modules might also be more.",,arg_request,arg-request_experiment,asp_substance,2
"- Given that the accuracy drop is very significant moving from NMN-Tree to NMN-Chain, is there an explanation for this drop?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"- While the authors mention multiple times that #rhs/#lhs = 1 and 2 are more challenging than #rhs/#lhs=18, they do not sufficiently explain why this is the case anywhere in the paper.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
- Small typo in the last line of section 4.3 on page 7. It should say: This is in stark contrast with “NMN-Tree” …,,arg_request,arg-request_typo,asp_clarity,3
"- Small typo in the “Layout induction” paragraph, line 6 on Page 7:",,arg_request,arg-request_typo,asp_clarity,3
…,,arg_request,arg-request_typo,asp_clarity,3
"I wonder except for the difference of memory consumption, how different it is compared to parameter space exploration.",,arg_request,arg-request_experiment,asp_substance,2
I am curious whether the paper has other good side effects.,,arg_request,arg-request_experiment,asp_substance,2
"For example, will the dropout cause the policy to be more robust?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"Furthermore, If I deploy the learning algorithm on a physical robot, will the temporally consistent exploration cause less wear and tear to the actuators when the robot explores.",,arg_request,arg-request_explanation,asp_soundness-correctness,0
"In addition, I would like to see some discussions whether this technique could be applied to off-policy learning as well.",,arg_request,arg-request_experiment,asp_substance,2
"In addition, the applications are very similar: image inpainting, denoising, super-resolution etc. Yeh et al.’s method should be the right baseline instead of the nearest neighbor algorithm.",,arg_request,arg-request_result,asp_meaningful-comparison,5
"Some other comments: what are the parameters of the degradation in the applications? For example, in image inpainting, does the proposed method learn the mask as well? So it is blind inpainting?",,arg_request,arg-request_explanation,asp_substance,0
On a more detailed level it is not clear why the log n representation for items is choosen -- why not just map to embeddings directly?,,arg_request,arg-request_explanation,none,0
"Do you mean that each latent variable is fixed to a value, such that this factor of variation is disabled? Are the canonicalizers pre-specified using meta-labels? Are they updated/learned during model training?",,arg_request,arg-request_explanation,asp_soundness-correctness,0
More explanation of canonicalization is needed.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
Perhaps an example in linear algebra is needed.,,arg_request,arg-request_explanation,asp_soundness-correctness,0
2. The learning of the proposed model relies on meta-data description such that the learning is supervised. Can the method be applicable to situations where no meta-data and no class labels are available?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
3. How can the proposed method be generalized to non-image data?,,arg_request,arg-request_explanation,asp_soundness-correctness,0
(1) than -> that,,arg_request,arg-request_typo,asp_clarity,3
"(2) Eq. (3): is there a superscription ""(j)"" on z_canon in decoder?",,arg_request,arg-request_typo,asp_clarity,3
"For the purpose of introduction, it might be better to give examples of expectation objectives such as:",,arg_request,arg-request_explanation,asp_motivation-impact,0
"- dropout: q is the distribution of NN outputs given the input image and integrating out latent dropout noises, gamma are parameters of this NN.",,arg_request,arg-request_explanation,asp_motivation-impact,0
"- VAE, GAN: q is the generative model defined as a mapping of a standard multivariate normal distribution by a NN.",,arg_request,arg-request_explanation,asp_motivation-impact,0
- sigmoid belief networks: q is a Bayesian network where each conditional distribution is a logistic regression model.,,arg_request,arg-request_explanation,asp_motivation-impact,0
"Then to state to which of these cases the results of the paper are applicable, allow for an improvement of the variance and at what additional computational cost (considering the cost of evaluating the discrete derivatives).",,arg_request,arg-request_explanation,asp_motivation-impact,0
I believe it should be discussed in related work.,,arg_request,arg-request_edit,asp_substance,1
Limitations / where the proposed method brings an improvement should be highlighted.,,arg_request,arg-request_result,asp_motivation-impact,5
"Equations (5) and (6) require a theorem of differentiating under integral (expectation), such as Leibnitz rule, which in case of (6) requires q_gamma(y)f(y) to be continuous in y and q_gamma(y) continuously differentiable in gamma.",,arg_request,arg-request_edit,asp_soundness-correctness,1
1. This work can make it clearer in principle how anti-aliasing contributes to improving the classification performance and robustness.,,arg_request,arg-request_edit,asp_clarity,1
